res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
161.0,96.0,44.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
162.0,96.0,44.0,23.0,21.0,17.0,39.0,38.0,10.0,9.0,8.0
163.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
165.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
165.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
165.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
166.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
166.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
166.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
163.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
53.0,20.0,3.0,5.0,6.0,4.0,-1.0,-2.0,-3.0,1.0,-1.0
3.0,1.0,-7.0,5.0,-5.0,-4.0,-1.0,-2.0,-5.0,-3.0,-1.0
17.0,-0.0,-7.0,-1.0,0.0,-0.0,-12.0,-13.0,-5.0,-1.0,-1.0
38.0,-0.0,-3.0,-1.0,0.0,4.0,-2.0,-3.0,-3.0,1.0,-1.0
5.0,-0.0,-7.0,-1.0,-10.0,-5.0,-12.0,-13.0,-8.0,-3.0,-3.0
8.0,-0.0,-3.0,-1.0,-5.0,-0.0,-2.0,-3.0,-5.0,-1.0,-1.0
75.0,36.0,15.0,5.0,10.0,8.0,8.0,7.0,-1.0,3.0,1.0
114.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
122.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
127.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
132.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
136.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
141.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,8.0
153.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
159.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
167.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
171.0,96.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
175.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
179.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
181.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
185.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
183.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
109.0,59.0,22.0,17.0,11.0,13.0,19.0,18.0,2.0,5.0,4.0
35.0,22.0,3.0,5.0,1.0,0.0,-1.0,8.0,-2.0,-1.0,1.0
20.0,1.0,-6.0,-1.0,-4.0,0.0,-11.0,-12.0,-7.0,-1.0,-1.0
10.0,1.0,-10.0,-1.0,-10.0,-4.0,-11.0,-12.0,-7.0,-3.0,-3.0
6.0,1.0,-11.0,-1.0,-10.0,-4.0,-11.0,-12.0,-7.0,-3.0,-1.0
