res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
1034.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1051.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1073.0,1254.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1090.0,1254.0,140.0,193.0,172.0,119.0,254.0,130.0,32.0,30.0,27.0
1107.0,1254.0,140.0,193.0,193.0,119.0,254.0,130.0,32.0,30.0,27.0
1124.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,27.0
1130.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1130.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1130.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1130.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1124.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,27.0
1124.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,27.0
1124.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,27.0
1124.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,27.0
1107.0,1254.0,140.0,193.0,193.0,119.0,254.0,130.0,32.0,30.0,27.0
916.0,1115.0,140.0,171.0,154.0,104.0,181.0,98.0,32.0,24.0,20.0
820.0,902.0,105.0,128.0,116.0,88.0,181.0,98.0,15.0,11.0,20.0
769.0,829.0,87.0,128.0,134.0,72.0,142.0,98.0,15.0,17.0,12.0
740.0,895.0,104.0,128.0,114.0,72.0,142.0,63.0,15.0,17.0,12.0
600.0,622.0,87.0,86.0,77.0,57.0,108.0,32.0,7.0,5.0,5.0
712.0,822.0,104.0,126.0,114.0,87.0,142.0,95.0,23.0,17.0,12.0
757.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
904.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
915.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
921.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
932.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
938.0,1108.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
943.0,1108.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
955.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
960.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
977.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,32.0,30.0,27.0
1000.0,1181.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
1017.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1034.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1045.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1056.0,1254.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1068.0,1254.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1073.0,1254.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1073.0,1254.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
950.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
927.0,1115.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
910.0,1115.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
899.0,1115.0,122.0,171.0,154.0,103.0,216.0,130.0,32.0,24.0,27.0
899.0,1115.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
904.0,1181.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
921.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1045.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1034.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1023.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1017.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1000.0,1181.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
989.0,1108.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
