SFH,TH
0,0
1,193
1,199
2,204
2,228
2,239
2,263
2,336
3,364
3,378
3,417
3,450
3,456
3,453
2,183
1,53
0,-81
0,-38
1,22
0,-117
0,-145
0,-120
1,31
2,331
3,339
3,361
3,376
3,416
3,451
4,467
4,475
4,484
4,486
4,508
4,510
4,511
4,511
4,511
4,511
4,480
3,437
3,398
3,420
2,141
2,106
2,131
2,197
3,377
3,380
3,409
3,416
3,429
3,448
3,451
3,454
3,456
3,464
4,467
4,472
4,473
4,474
4,473
4,472
3,465
3,464
3,457
3,451
2,235
2,236
2,304
3,318
3,417
3,448
3,451
3,456
4,467
4,486
4,487
4,520
4,524
4,545
4,554
4,568
4,572
4,583
4,569
4,568
4,530
4,462
4,457
4,428
4,426
4,425
4,431
4,487
4,531
4,544
4,545
4,547
4,565
4,568
4,569
4,568
4,567
4,565
4,565
4,554
4,547
4,546
4,528
3,320
3,279
3,355
3,451
3,339
2,202
2,180
2,178
2,178
3,380
3,428
3,451
3,456
4,474
4,486
4,512
4,525
4,565
4,586
5,616
5,620
5,623
5,623
4,478
3,301
3,292
2,152
2,131
2,140
2,292
2,162
1,28
2,126
3,465
4,476
4,487
4,513
4,523
4,544
4,566
4,570
4,585
4,608
5,615
5,616
5,617
5,617
3,393
2,202
2,187
2,154
2,111
1,80
1,73
1,41
2,106
2,192
3,430
3,451
3,455
3,464
4,473
4,476
4,486
4,509
4,511
4,514
4,520
4,521
4,521
4,521
3,418
3,376
2,259
2,202
2,106
1,-51
1,133
2,247
3,364
3,284
3,402
3,414
3,429
3,449
3,452
3,456
4,465
4,475
4,486
4,511
4,513
4,520
4,522
4,522
3,406
3,370
3,353
3,356
3,419
1,-11
2,116
2,208
3,375
3,429
3,451
3,454
3,456
3,464
4,472
4,475
4,483
4,485
4,487
4,509
4,510
4,511
4,511
4,511
3,383
3,439
4,473
2,227
2,221
2,216
1,20
1,14
2,160
1,113
3,350
3,361
3,371
3,375
3,379
3,408
3,417
3,448
3,452
3,456
3,464
4,467
4,474
4,473
4,467
3,464
3,456
3,392
3,418
3,389
1,-21
0,-120
0,-125
0,-82
3,342
3,351
3,361
3,364
3,373
3,376
3,380
3,409
3,417
3,448
3,450
3,451
3,452
3,451
3,452
3,448
3,384
3,318
3,286
3,288
1,-39
0,-73
0,-98
1,13
2,331
2,336
3,340
3,350
3,362
3,372
3,377
3,408
3,429
3,451
3,454
3,456
3,464
3,464
3,409
2,312
2,176
2,145
1,105
1,1
1,0
1,62
1,68
1,163
2,309
2,336
3,350
3,365
3,379
3,417
3,451
3,464
4,484
4,511
4,520
4,525
4,531
4,531
2,233
1,50
0,-101
0,-175
0,-251
-1,-274
-1,-279
-1,-251
0,-184
0,-67
2,309
2,337
3,351
3,372
3,402
3,430
3,456
4,474
4,487
4,520
4,523
4,531
4,544
4,544
3,244
2,97
1,-55
0,-137
0,-198
0,-216
-1,-220
0,-181
0,-179
0,-35
2,155
3,342
3,363
3,378
3,417
3,452
4,467
4,484
4,511
4,525
4,532
4,547
4,567
4,567
3,387
2,220
2,149
1,54
1,-14
0,-64
0,-108
0,-70
1,-12
1,47
2,161
3,376
3,380
3,409
3,417
3,430
3,450
3,450
3,451
3,451
3,451
3,451
3,451
3,451
3,417
3,294
2,247
2,228
2,228
1,152
2,161
2,168
2,175
2,190
2,310
2,337
2,339
3,342
3,343
3,352
3,361
3,365
3,372
3,375
3,376
3,377
3,377
3,376
2,256
2,146
1,76
1,68
1,-27
1,34
1,124
2,199
2,257
2,229
2,278
2,310
2,335
2,338
3,342
3,351
3,362
3,373
3,379
3,410
3,428
3,430
3,449
3,449
3,430
3,374
2,277
2,176
1,78
1,56
1,68
1,43
0,-83
1,-23
1,69
2,272
2,309
2,333
2,337
3,341
3,351
3,356
3,364
3,373
3,374
3,376
3,377
3,376
2,239
1,-3
-1,-234
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,195
2,199
2,225
2,230
2,240
2,256
2,261
2,278
2,310
2,333
2,336
2,338
2,335
1,98
1,42
0,-107
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,195
2,204
2,231
2,249
2,261
2,289
2,334
2,337
3,340
3,343
3,341
1,-8
0,-150
0,-105
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,186
2,200
2,229
2,249
2,263
2,331
3,339
3,361
3,377
3,408
3,428
3,449
3,430
2,166
1,38
0,-106
0,-173
-1,-225
0,0
0,0
0,0
0,0
0,0
1,15
2,238
2,248
2,258
2,262
2,272
2,309
2,309
2,310
2,309
2,309
2,309
2,309
2,290
2,263
2,224
2,163
1,147
1,133
1,136
1,114
1,119
1,170
1,223
2,231
2,238
2,249
2,262
2,262
2,264
2,289
2,332
2,338
3,350
3,356
3,365
3,372
3,364
2,243
1,96
1,60
0,22
0,-25
0,-73
0,0
0,0
0,0
1,100
1,169
2,238
2,250
2,262
2,289
2,333
2,339
3,343
3,361
3,372
3,375
3,377
3,379
3,378
3,329
2,172
1,102
1,97
1,62
1,152
2,162
2,163
2,224
2,290
2,334
2,336
3,341
3,353
3,371
3,376
3,408
3,428
3,451
3,456
3,464
4,472
4,475
3,464
1,78
0,-56
0,-172
-1,-273
0,0
0,0
0,0
0,0
0,0
0,0
1,42
2,238
2,250
2,261
2,289
2,332
2,338
3,342
3,353
3,364
3,372
3,375
3,376
3,373
2,312
2,239
2,173
1,93
1,66
1,56
1,40
1,69
1,132
1,146
2,216
2,261
2,265
2,298
2,333
2,337
3,341
3,350
3,356
3,363
3,365
3,372
3,373
3,356
2,253
2,219
1,62
2,146
1,37
0,-33
0,0
0,0
0,0
0,0
0,0
0,0
1,193
2,202
2,237
2,257
2,272
2,336
3,361
3,375
3,402
3,417
3,428
3,317
2,175
1,144
1,84
0,-44
0,-59
0,-94
0,-92
0,-7
1,15
1,96
2,207
2,259
2,290
2,335
3,343
3,371
3,380
3,414
3,430
3,450
3,452
3,454
3,455
3,416
3,305
2,260
2,164
2,167
1,82
1,71
1,56
1,112
1,145
2,168
2,233
2,331
2,336
3,340
3,350
3,362
3,372
3,375
3,378
3,379
3,408
3,402
3,380
3,378
3,376
3,373
3,331
2,320
2,293
2,285
1,-31
0,-47
0,-37
1,1
1,56
2,248
2,257
2,261
2,264
2,290
2,310
2,336
3,341
3,350
3,353
3,362
3,362
3,352
2,307
2,303
2,193
1,69
1,26
0,9
1,27
1,38
1,104
1,193
2,237
2,249
2,259
2,264
2,298
2,333
2,338
3,342
3,353
3,362
3,365
3,372
3,373
2,156
1,6
0,-144
-1,-220
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,194
2,204
2,238
2,258
2,278
2,334
2,338
3,343
3,352
3,352
2,235
1,129
1,-24
1,35
0,-93
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,201
2,238
2,260
2,310
3,340
3,364
3,376
3,402
3,416
3,417
2,270
2,161
1,47
1,-38
0,-75
0,-150
0,-179
-1,-166
0,-135
0,-104
0,-30
1,52
2,248
2,258
2,263
2,298
2,333
2,338
2,338
2,338
2,338
2,338
2,337
2,339
2,299
2,177
2,155
1,122
0,11
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,194
2,202
2,231
2,250
2,264
2,331
3,342
3,372
3,378
3,410
3,430
3,430
2,101
0,-77
0,-242
-1,-252
-1,-220
-1,-207
0,0
0,0
0,0
0,0
0,0
1,12
2,237
2,258
2,289
2,336
3,352
3,376
3,380
3,416
3,430
3,449
3,451
3,451
2,217
1,56
0,-57
0,-152
-1,-261
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,195
2,204
2,238
2,258
2,278
2,334
3,342
3,362
3,372
3,376
3,379
3,379
2,175
1,37
0,-173
-1,-229
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,199
2,228
2,248
2,262
2,310
2,338
3,351
3,371
3,376
3,380
3,409
3,409
2,134
1,-22
0,-162
-1,-279
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,194
2,202
2,231
2,250
2,263
2,290
2,333
2,335
2,339
3,341
3,341
2,333
2,259
2,181
1,156
1,94
1,73
1,55
1,70
1,118
1,132
1,144
2,207
2,257
2,258
2,259
2,263
2,262
2,264
2,262
2,262
2,261
2,259
2,258
2,258
2,248
2,201
1,113
1,100
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,197
2,204
2,228
2,240
2,265
2,339
3,353
3,374
3,380
3,380
1,64
0,-108
-1,-225
-1,-316
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,201
2,231
2,258
2,290
2,337
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,265
2,334
3,340
3,352
3,363
3,363
2,150
0,-65
0,-191
-1,-239
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,199
2,229
2,257
2,289
2,338
3,343
3,364
3,373
3,377
3,380
3,379
1,112
2,143
-1,-226
-1,-330
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,195
2,226
2,240
2,261
2,310
3,339
3,362
3,376
3,410
3,429
3,450
3,453
3,452
2,225
1,-35
2,202
2,243
2,229
2,277
2,230
2,161
2,234
1,140
2,241
2,309
