SFH,TH,MFH,AB
1871356,239477,784034,1054163
1918018,241110,798913,1076615
1931379,248418,803551,1087841
2064182,259770,861304,1166425
2213470,266301,928074,1256234
2346020,309786,991956,1334818
2448275,333425,1018344,1379723
2470873,336691,1059719,1424629
2566517,339957,1082339,1469532
2611346,343222,1123456,1514438
2628294,350745,1137009,1548117
2628294,350745,1137009,1537306
2504424,342406,1069954,1426236
2295981,305677,986846,1319131
2145408,294186,877327,1182247
2128459,267348,852046,1127797
1889657,222439,780488,1041553
2045546,269731,852743,1141111
2341354,332609,966443,1291524
2476522,337507,1067132,1435853
2482171,338324,1074853,1447081
2566517,339957,1082339,1469532
2600047,341590,1097690,1491986
2605696,342406,1117218,1503213
2616995,344039,1131123,1525664
2628294,350745,1137009,1548117
2633943,351561,1150241,1559342
2622644,349928,1135762,1536890
2605696,342406,1117218,1503213
2487821,339140,1077700,1458307
2476522,337507,1067132,1435853
2465223,335875,1045200,1413402
2448275,333425,1018344,1379723
2436976,331792,1004692,1357272
2346020,309786,991956,1334818
2219119,272135,932337,1238068
1611734,164930,635314,852795
1709050,235891,715089,965647
1616703,197675,632922,846129
365170,-19,-55285,-123772
993124,102668,332375,428604
547701,7329,53811,29828
844755,46565,212348,259304
1611929,201786,655525,874958
1467828,194438,582584,784734
1479126,196071,595863,807186
1496074,198520,628595,840863
1580420,200153,641620,863318
1611929,201786,655525,885769
1623228,203419,671507,908223
1646787,226240,700976,941900
1825787,237845,764968,1031708
2047234,257321,843387,1132747
2207820,265485,926827,1245007
2241717,297409,975431,1312366
2442626,332609,1013705,1368498
2476522,337507,1067132,1435853
2594398,340773,1090566,1480758
2616995,344039,1131123,1525664
2633943,351561,1150241,1548532
2827144,361318,1181946,1570671
2748469,370220,1189228,1594804
2809595,373486,1219546,1630083
2899590,375935,1232781,1663762
2933121,377568,1253563,1695840
2748469,370220,1197158,1607946
2849741,370220,1214890,1619760
2899568,371853,1232815,1671605
2905217,372669,1234062,1682831
3028743,376751,1283787,1738963
3092624,406278,1337256,1795094
3233836,426931,1373117,1862452
3256433,447142,1409909,1907355
3363376,452040,1463334,1974713
3478240,456939,1503880,2042070
3446731,455306,1493942,2019618
3435432,453673,1479404,1997165
3391256,452857,1469572,1985940
3357726,451224,1444524,1963488
3346427,449591,1430019,1941035
3267732,448775,1427172,1929808
3256433,447142,1409909,1907355
3250784,429380,1408662,1896130
3233836,426931,1373117,1851641
2965493,400389,1295825,1736692
2809595,373486,1195906,1600689
2676137,359364,1132655,1538185
2653540,356099,1096569,1495469
956759,34422,147725,153220
508216,-29776,-34000,-99819
1011252,66945,271268,332938
2230418,289576,948185,1289913
2424717,310603,1002471,1346045
2459574,335058,1026682,1402176
2487821,339140,1077700,1458307
2611346,343222,1123456,1514438
2695166,352378,1161729,1570569
2838443,362951,1203665,1626700
2905217,372669,1234062,1682831
3092624,406278,1337256,1795094
3262083,447958,1416657,1918582
3483889,462829,1508518,2053296
3633908,474218,1562571,2120654
3780770,485569,1619820,2199238
3863720,510840,1675354,2266596
4012355,519995,1711568,2322727
4040601,524077,1760986,2378859
4086169,528385,1769646,2390500
4080542,544727,1796649,2405009
4145580,554193,1788245,2416335
4095846,562983,1789122,2427247
4221204,565432,1814508,2458736
4299186,583033,1846418,2487562
4162529,567387,1829550,2460825
4263801,567387,1847667,2491221
4258151,566571,1859774,2513572
4389159,569836,1891119,2558478
4413820,583850,1910256,2592155
4430768,586299,1935002,2625834
4605819,615574,1975777,2670739
4617117,617207,1989056,2693192
4654275,619656,2007544,2726870
4783451,624555,2064052,2794228
4654275,619656,2007544,2726870
4654275,619656,2007544,2726870
4487204,608304,1956558,2648287
4419469,584666,1926542,2603383
4394808,572660,1898493,2569704
4348146,569020,1885816,2547250
4263801,567387,1862622,2524800
4252502,565754,1840385,2502345
4193113,546360,1827752,2457857
4086169,528385,1765037,2369728
3922381,521628,1709860,2303972
3773747,512473,1662341,2234698
3730939,509207,1625253,2189793
3697408,507574,1613194,2167340
3697408,507574,1621123,2180483
3832211,509207,1655215,2221923
3869369,511656,1686476,2267011
3863720,510840,1675354,2266596
3858070,510023,1662965,2255368
3832211,509207,1658327,2244144
3832211,509207,1658327,2244144
3804329,508391,1647269,2232916
3798680,507574,1641969,2221690
3793031,486386,1628369,2210463
4018004,520812,1722317,2333953
3959364,519179,1702877,2311499
3875018,512473,1691114,2289047
3953715,513289,1698238,2300274
3959364,519179,1702877,2311499
4012355,519995,1711568,2322727
4012355,519995,1711568,2322727
4018004,520812,1722317,2333953
4012355,519995,1711568,2311917
3959364,519179,1698268,2279917
3852443,513289,1677394,2259066
3858092,519179,1674103,2257150
3773747,512473,1659539,2234698
3911083,519995,1682794,2268377
3773747,512473,1676160,2253281
4012355,519995,1708456,2300508
4012355,519995,1711568,2311917
4012355,519995,1711568,2322727
4018004,520812,1722317,2333953
4040601,524077,1760986,2378859
4034952,523261,1754746,2367631
4046251,524894,1765624,2390084
4086169,528385,1769646,2401311
4170515,532359,1791504,2423763
4246852,554193,1834611,2491119
4394808,572660,1898493,2569704
4487204,608304,1956558,2648287
4611468,616390,1980415,2681966
4648626,618840,2003522,2715644
4693456,622105,2036687,2760549
4777801,623738,2053049,2783003
4789100,625371,2076168,2805454
4777801,623738,2049938,2768008
3455497,393029,1378425,1831077
3404847,422506,1400585,1878845
3837168,489797,1645350,2204502
3453212,414934,1414252,1870023
1992965,170410,549650,690999
2987521,369877,1209099,1610913
2929250,347159,1183134,1580717
3953715,513289,1698238,2287273
4086169,528385,1769646,2401311
4252502,565754,1840385,2502345
4419469,584666,1926542,2603383
4622767,618023,1996147,2704418
4789100,625371,2076168,2805454
4921806,637791,2145773,2906489
5087888,650156,2218317,3007525
5261466,717121,2300575,3108561
5451135,731738,2383368,3232051
5652734,746608,2479232,3366766
5794350,752323,2545886,3445348
5970052,781086,2601497,3523932
6052674,806367,2660854,3602517
6218354,822539,2699798,3669872
6246601,843002,2749049,3726004
6246601,843002,2745937,3696612
4885629,586629,1988366,2645226
3875824,410890,1387593,1795917
3639956,401093,1249424,1644018
3254776,332341,1089308,1417221
3063110,245183,951292,1210453
3212377,286900,1079833,1394770
4210938,523217,1666112,2210887
5658383,747424,2487781,3367182
5658383,747424,2487781,3377992
5658383,747424,2487781,3377992
5658383,747424,2487781,3377992
5652734,746608,2479232,3366766
5652734,746608,2479232,3366766
5652734,746608,2479232,3366766
5652734,746608,2479232,3366766
5574661,735820,2421475,3288182
5388618,722020,2342857,3175920
5236805,673998,2267213,3074884
5087888,650156,2218317,3007525
4993233,640240,2171351,2940169
4837460,636158,2133923,2884038
4800399,627004,2093196,2827907
4777801,623738,2053049,2783003
4611468,616390,1975807,2650383
3620378,429059,1476421,2006510
2670928,343505,1057567,1408039
1977349,180982,670670,870198
1644991,153710,548910,713518
989867,44283,198174,219385
1549266,188876,548704,725466
2084545,240785,814228,1078430
2849741,370220,1218001,1638341
2893919,371036,1222640,1660379
2899568,371853,1232815,1671605
2905217,372669,1234062,1682831
2910867,373486,1252617,1694056
2989563,374302,1266412,1705284
2995213,375118,1274510,1716511
3000862,375935,1279148,1727737
3182620,411404,1350555,1828771
3267732,448775,1427172,1929808
3478240,456939,1503880,2042070
3622609,472585,1553603,2098201
3685126,482304,1594332,2154333
3798680,507574,1641969,2221690
3863720,510840,1675354,2266596
3959364,519179,1702877,2311499
3858070,510023,1658356,2223786
3314094,414084,1408887,1882325
2621344,344433,1070934,1420068
2374315,296865,937322,1221378
2108211,196422,733373,965834
2071268,226172,772331,1018819
1657505,162667,522073,670604
2001355,183431,701702,911507
3188269,414562,1351802,1829187
3239485,427748,1374364,1873677
3250784,429380,1408662,1896130
3267732,448775,1427172,1929808
3352077,450408,1439886,1952261
3363376,452040,1463334,1974713
3441082,454490,1486528,2008391
3472590,456123,1498580,2030844
3446731,455306,1493942,2019618
3391256,452857,1469572,1985940
3357726,451224,1444524,1963488
3346427,449591,1430019,1941035
3267732,448775,1427172,1929808
3262083,447958,1416657,1918582
3250784,429380,1408662,1896130
3245134,428564,1402422,1884903
3188269,414562,1348690,1825002
2899590,375935,1232781,1663762
2676137,331121,1132655,1519602
2430509,317282,1033491,1384988
2402262,308126,988292,1328858
2249691,302462,961746,1276323
2314216,305677,992351,1340115
2465245,339957,1050763,1415183
2622644,349928,1135762,1526080
2628294,350745,1137009,1548117
2633943,351561,1150241,1559342
2695166,352378,1161729,1570569
2821494,360502,1170067,1593021
2827144,361318,1187449,1604249
2832793,362134,1195116,1615473
2838443,362951,1203665,1626700
2893919,371036,1222640,1660379
2899568,371853,1232815,1671605
2905217,372669,1234062,1682831
2905217,372669,1234062,1682831
2899568,371853,1232815,1671605
2899568,371853,1232815,1671605
2893919,371036,1222640,1660379
2849741,370220,1218001,1649152
2527022,350745,1116166,1506909
197130,-111821,-253947,-425896
-746527,-204659,-713169,-1063978
-781384,-229113,-758621,-1124292
-142383,-153835,-458141,-675942
428597,2320,-29606,-88493
919481,98264,285847,344051
820574,36220,187112,223539
1501724,199337,636008,839090
1617578,202602,664383,896996
1641138,225424,695364,930674
1658086,227873,706861,964353
1808839,230322,735193,998033
1825787,237845,764968,1031708
1877005,240294,791701,1065389
1937028,249234,804798,1099068
2174290,263852,908355,1222556
2424717,310603,1002471,1346045
2566517,339957,1082339,1469532
2616995,344039,1131123,1525664
2821494,360502,1170067,1593021
2849741,370220,1218001,1649152
2910867,373486,1252617,1694056
3028743,376751,1283787,1738963
2792647,371036,1201797,1619171
886660,45289,134524,135831
87022,-115903,-299499,-472663
-209277,-162758,-473449,-703038
-78751,-118017,-340946,-514393
-252589,-156285,-474547,-707431
-29583,-98433,-307225,-495324
896560,73469,288089,358739
2041584,250867,836263,1110710
2086779,263036,890308,1211330
